feature,value,shap_contribution
BMI,34,0.12035494522301735
HighBP,1,0.08254638969150238
GenHlth,3,0.08058365780311857
HighChol,1,0.0679366780028427
Age,8,0.014417289742543499
Income,5,0.006497215812667045
HvyAlcoholConsump,0,0.0059920445492136765
DiffWalk,0,-0.005661735509338434
Sex,0,-0.005488921596574409
CholCheck,1,0.004933731657282864
MentHlth,2,-0.002264896134383798
HeartDiseaseorAttack,0,-0.0018082605189826129
PhysHlth,5,-0.0015470973574899516
PhysActivity,0,0.0014275213757302119
Fruits,1,-0.0006621260261312212
AnyHealthcare,1,0.00035569486336667344
Education,5,0.00034740688048814916
Stroke,0,-0.0003231006044620566
Veggies,1,-0.00023425519368691639
Smoker,0,0.0001278756082542798
NoDocbcCost,0,-5.918632326068485e-05
