feature,mean_absolute_shap
GenHlth,0.07912913122860427
HighBP,0.06515152748629285
BMI,0.060320781544127546
Age,0.057906823216262754
HighChol,0.046563659456599175
HeartDiseaseorAttack,0.010440042870089337
Income,0.008978401217879768
Sex,0.00890257932250058
DiffWalk,0.008392012538206236
CholCheck,0.008370506547534797
HvyAlcoholConsump,0.008044021992805779
MentHlth,0.004687704629013526
Stroke,0.004395832581419856
Education,0.0016912029799912474
PhysHlth,0.001290365587201932
AnyHealthcare,0.0008744323581724669
PhysActivity,0.0008129734222989379
Fruits,0.0006486682234478506
NoDocbcCost,0.0005076027395303169
Smoker,0.0004824317853524398
Veggies,0.0004781833058158139
